Timestamp,Vehicle_ID,Vehicle_Model,Battery_Age_Months,Avg_Cell_Voltage,Max_Cell_Voltage,Min_Cell_Voltage,Pack_Current,Charging_State,Charge_Throughput,Avg_Temperature,Max_Temperature,Min_Temperature,Ambient_Temperature,Internal_Resistance,Pressure_Level,Coolant_Flow_Rate,Insulation_Resistance,Cycle_Count,Depth_of_Discharge,Energy_Consumed_kWh,Energy_Regenerated_kWh,Distance_Traveled_km,Speed_kmh,Acceleration_ms2,Location_City,Location_Latitude,Location_Longitude,Altitude_m,Humidity_Percent,Air_Pressure_kPa,SOC,SOH,Voltage_Imbalance,Temperature_Gradient,Power_kW,Thermal_Risk_Score,Voltage_Risk_Score,Aging_Risk_Score,Overall_Risk_Score,Alert_Status,Critical_Alert,Hour,Day_of_Week,Month,Vehicle_Model_Encoded,Charging_State_Encoded,Location_City_Encoded,Risk_Category
2024-01-01 00:00:00,JLR-EV-1001,I-PACE,22,3.675,3.863,3.277,-0.88,Idle,25738.96,28.66,34.39,21.18,24.82,2.884,1.344,3.111,1017715,325,0.0,0.0,0.0,0.0,0.0,0.0,Delhi,28.6139,77.209,216,60,98.7,48.44818990654187,83.42572753597052,0.5859999999999999,13.21,0.003234,15.501182495590047,100.0,38.07057429445477,51.19058559668161,Cell Imbalance,1,0,0,1,2,2,2,High
2024-01-01 06:00:00,JLR-EV-1001,I-PACE,34,3.666,3.925,3.496,37.85,Discharging,44741.23,23.89,27.75,16.69,21.29,3.368,1.717,2.862,1275888,546,37.0,0.83,0.0,87.9,72.4,2.2,Bangalore,12.9716,77.5946,920,67,91.7,42.660344687004056,77.04433018993268,0.4289999999999998,11.059999999999999,0.13875810000000002,0.9558824543404354,93.6228593528415,63.21201765911406,52.59691982209867,Cell Imbalance,1,6,0,1,2,1,0,High
2024-01-01 12:00:00,JLR-EV-1001,I-PACE,21,3.504,3.839,3.398,34.27,Discharging,27692.84,22.18,27.56,15.97,20.32,3.115,1.575,3.984,1402699,376,72.2,0.72,0.0,136.0,34.6,-2.4,Pune,18.5204,73.8567,560,66,94.9,38.04560094586028,84.66695943455723,0.44099999999999984,11.589999999999998,0.12008208000000001,0.0,100.0,41.04320392476832,47.014401308256105,Cell Imbalance,1,12,0,1,2,1,4,Medium
2024-01-01 18:00:00,JLR-EV-1001,I-PACE,17,3.42,3.614,3.191,-24.18,Charging,26359.07,20.67,33.72,15.3,20.48,2.864,1.166,2.578,1401900,262,0.0,0.0,0.5,0.0,0.0,0.0,Bangalore,12.9716,77.5946,920,74,92.7,38.19793620210713,88.91013470915748,0.42300000000000004,18.419999999999998,0.0826956,0.5293825873390592,98.74272962273162,30.790988298972987,43.354366836347886,Cell Imbalance,1,18,0,1,2,0,0,Medium
2024-01-02 00:00:00,JLR-EV-1001,I-PACE,51,3.444,3.684,3.227,-70.63,Charging,63010.65,32.2,39.89,26.47,22.16,3.447,1.504,2.888,1739092,676,0.0,0.0,1.46,0.0,0.0,0.0,Delhi,28.6139,77.209,216,69,99.5,33.48453055976516,62.291190944303224,0.4570000000000003,13.420000000000002,0.24324971999999997,20.043700369494086,100.0,89.03317926211929,69.6922932105378,Cell Imbalance,1,0,1,1,2,0,2,High
2024-01-02 06:00:00,JLR-EV-1001,I-PACE,16,3.699,4.034,3.371,26.26,Discharging,22841.88,23.55,26.87,19.98,24.09,2.972,1.194,3.18,1790579,284,73.7,0.58,0.0,56.8,82.2,1.1,Chennai,13.0827,80.2707,6,70,102.4,40.87085250486591,88.84032477328827,0.6629999999999998,6.890000000000001,0.09713574,1.7126170332036166,100.0,37.11707561218955,46.27656421513105,Cell Imbalance,1,6,1,1,2,1,1,Medium
2024-01-02 12:00:00,JLR-EV-1001,I-PACE,42,3.737,4.022,3.567,0.23,Idle,56250.98,20.26,25.77,13.42,21.27,3.3,1.052,3.937,1665137,620,0.0,0.0,0.0,0.0,0.0,0.0,Mumbai,19.076,72.8777,14,76,101.7,73.35712985948054,72.9557808587117,0.45500000000000007,12.35,0.0008595100000000001,0.0,100.0,75.55634187267674,58.51878062422558,Cell Imbalance,1,12,1,1,2,2,3,High
2024-01-02 18:00:00,JLR-EV-1001,I-PACE,52,3.567,3.738,3.408,-90.95,Charging,58169.38,31.95,45.22,28.42,21.11,3.229,1.747,2.477,1525383,635,0.0,0.0,1.95,0.0,0.0,0.0,Bangalore,12.9716,77.5946,920,67,91.4,62.25995942800457,65.04730832001444,0.33000000000000007,16.799999999999997,0.32441865000000003,22.8026743292834,67.1469369862652,84.33981361881439,58.096474978120995,Cell Imbalance,1,18,1,1,2,0,0,High
2024-01-03 00:00:00,JLR-EV-1001,I-PACE,19,3.702,3.924,3.472,68.41,Discharging,29831.14,30.14,45.04,22.51,20.91,3.1,1.034,3.923,1263312,357,62.2,1.52,0.0,4.7,74.5,0.4,Bangalore,12.9716,77.5946,920,67,91.8,66.22163358198709,82.82592333799288,0.45199999999999996,22.529999999999998,0.25325381999999996,19.450253247751178,100.0,34.45988981938426,51.30338102237848,Cell Imbalance,1,0,2,1,2,1,0,High
2024-01-03 06:00:00,JLR-EV-1001,I-PACE,7,3.702,3.951,3.414,-51.32,Charging,16742.55,27.47,35.62,22.67,24.97,3.046,1.45,2.501,1445633,169,0.0,0.0,1.14,0.0,0.0,0.0,Bangalore,12.9716,77.5946,920,69,91.0,82.84469766711676,95.48649334808866,0.5369999999999999,12.949999999999996,0.18998663999999998,14.696599168172533,100.0,19.758754385592297,44.81845118458828,Cell Imbalance,1,6,2,1,2,0,0,Medium
